SendDate,Solar Power (kW),Solar energy Generation  (kWh),consumptionValue (kW)
7/1/2024 12:18,644,3.5,0.48
7/1/2024 12:18,656,3.5,0.43
7/1/2024 12:24,667,3.5,0.45
7/1/2024 12:29,805,3.6,0.48
7/1/2024 12:34,769,3.7,0.48
7/1/2024 12:39,941,3.8,0.5
7/1/2024 12:44,1038,3.8,0.5
7/1/2024 12:50,927,3.9,0.41
7/1/2024 12:55,742,4,0.42
7/1/2024 13:00,1022,4.1,0.46
7/1/2024 13:05,576,4.1,0.45
7/1/2024 13:10,702,4.2,0.45
7/1/2024 13:16,1219,4.3,0.45
7/1/2024 13:22,1212,4.4,0.43
7/1/2024 13:27,1012,4.4,0.45
7/1/2024 13:32,1079,4.5,0.39
7/1/2024 13:37,1072,4.6,0.37
7/1/2024 13:42,1053,4.7,0.39
7/1/2024 13:47,1040,4.8,0.38
7/1/2024 13:52,1069,4.9,0.39
7/1/2024 13:57,1003,4.9,0.37
7/1/2024 14:02,1031,5,0.38
7/1/2024 14:08,999,5.1,0.36
7/1/2024 14:13,976,5.2,0.37
7/1/2024 14:18,944,5.3,0.35
7/1/2024 14:24,1204,5.3,0.41
7/1/2024 14:29,937,5.4,0.41
7/1/2024 14:34,934,5.5,0.41
7/1/2024 14:40,888,5.6,0.41
7/1/2024 14:45,911,5.6,0.42
7/1/2024 14:48,1187,5.7,0.44
7/1/2024 14:49,1190,5.7,0.43
7/1/2024 14:50,1149,5.7,0.44
7/1/2024 14:55,1312,5.8,0.39
7/1/2024 15:00,885,5.9,0.38
7/1/2024 15:05,1270,6,0.38
7/1/2024 15:08,718,6,0.38
7/1/2024 15:10,663,6,0.41
7/1/2024 15:12,596,6.1,0.4
7/1/2024 15:15,761,6.1,0.4
7/1/2024 15:22,706,6.2,0.4
7/1/2024 15:27,901,6.2,0.42
7/1/2024 15:32,1170,6.3,0.39
7/1/2024 15:37,1142,6.4,0.39
7/1/2024 15:42,1034,6.5,0.39
7/1/2024 15:47,1108,6.6,0.38
7/1/2024 15:53,1105,6.7,0.38
7/1/2024 15:58,1000,6.7,0.37
7/1/2024 16:03,897,6.8,0.38
7/1/2024 16:08,633,6.9,0.38
7/1/2024 16:13,839,6.9,0.36
7/1/2024 16:18,735,7,0.44
7/1/2024 16:24,856,7.1,0.49
7/1/2024 16:29,838,7.1,0.44
7/1/2024 16:35,723,7.2,0.46
7/1/2024 16:40,602,7.3,0.4
7/1/2024 16:45,635,7.3,0.44
7/1/2024 16:50,723,7.4,0.44
7/1/2024 16:55,664,7.4,0.41
7/1/2024 17:00,593,7.5,0.4
7/1/2024 17:05,542,7.5,0.43
7/1/2024 17:12,354,7.5,0.48
7/1/2024 17:17,354,7.5,
7/1/2024 17:19,304,7.5,
7/1/2024 17:23,318,7.5,
7/1/2024 17:26,344,7.6,0.47
7/1/2024 17:29,309,-0.1,
7/1/2024 17:31,282,7.6,0.49
7/1/2024 17:33,261,7.6,0.49
7/1/2024 17:36,224,7.7,0.47
7/1/2024 17:37,208,7.7,0.42
7/1/2024 17:40,142,-0.1,
7/1/2024 17:40,182,7.7,0.44
7/1/2024 17:42,122,7.7,0.44
7/1/2024 17:42,132,7.7,0.44
7/1/2024 17:44,178,7.7,0.41
7/1/2024 17:45,139,7.7,0.43
7/1/2024 17:48,184,7.7,0.48
7/1/2024 17:51,192,-0.1,
7/1/2024 17:54,142,7.7,0.54
7/1/2024 17:57,191,7.7,0.54
7/1/2024 17:59,-1,7.7,
7/1/2024 18:03,198,7.7,0.53
7/1/2024 18:06,197,7.7,0.53
7/1/2024 18:08,140,7.7,0.51
7/1/2024 18:11,-1,7.7,
7/1/2024 18:13,186,7.8,0.47
7/1/2024 18:14,186,7.8,0.53
7/1/2024 18:15,183,7.8,0.53
7/1/2024 18:17,125,7.8,0.53
7/1/2024 18:19,136,7.8,0.53
7/1/2024 18:21,121,7.8,0.53
7/1/2024 18:22,161,7.8,0.49
7/1/2024 18:24,192,7.8,0.49
7/1/2024 18:26,198,7.8,0.48
7/1/2024 18:28,139,7.8,0.53
7/1/2024 18:31,194,7.8,0.54
7/1/2024 18:32,187,7.8,0.53
7/1/2024 18:34,182,7.8,
7/1/2024 18:36,185,7.8,0.53
7/1/2024 18:39,-1,7.8,
7/1/2024 18:41,168,-0.1,
7/1/2024 18:43,160,7.8,0.54
7/1/2024 18:44,160,7.8,0.54
7/1/2024 18:49,160,7.8,0.53
7/1/2024 18:54,160,7.8,0.5
7/1/2024 19:00,160,7.8,0.54
7/1/2024 19:05,160,7.8,0.51
7/1/2024 19:10,160,7.8,0.5
7/1/2024 19:16,160,7.8,0.49
7/1/2024 19:22,160,7.8,0.46
7/1/2024 19:27,160,7.8,0.45
7/1/2024 19:33,160,7.8,0.46
7/1/2024 19:38,160,7.8,0.46
7/1/2024 19:43,160,7.8,0.44
7/1/2024 19:49,160,7.8,0.45
7/1/2024 19:54,160,7.8,0.44
7/1/2024 19:59,160,7.8,0.46
7/1/2024 20:04,160,7.8,0.47
7/1/2024 20:09,160,7.8,0.45
7/1/2024 20:15,160,7.8,0.46
7/1/2024 20:21,160,7.8,0.47
7/1/2024 20:26,160,7.8,0.46
7/1/2024 20:31,160,7.8,0.47
7/1/2024 20:36,160,7.8,0.45
7/1/2024 20:42,160,7.8,0.45
7/1/2024 20:47,160,7.8,0.45
7/1/2024 20:52,160,7.8,0.47
7/1/2024 20:58,160,7.8,0.44
7/1/2024 21:03,160,7.8,0.46
7/1/2024 21:08,160,7.8,0.44
7/1/2024 21:13,160,7.8,0.4
7/1/2024 21:18,160,7.8,0.39
7/1/2024 21:25,160,7.8,0.41
7/1/2024 21:30,160,7.8,0.39
7/1/2024 21:35,160,0,0.38
7/1/2024 21:40,160,0,0.39
7/1/2024 21:46,160,0,0.4
7/1/2024 21:51,160,0,0.38
7/1/2024 21:56,160,0,0.38
7/1/2024 22:01,160,0,0.39
7/1/2024 22:06,160,0,0.39
7/1/2024 22:11,160,0,0.37
7/1/2024 22:17,160,0,0.36
7/1/2024 22:23,160,0,0.36
7/1/2024 22:28,160,0,0.36
7/1/2024 22:34,160,0,0.35
7/1/2024 22:39,160,0,0.37
7/1/2024 22:44,160,0,0.37
7/1/2024 22:49,160,0,0.35
7/1/2024 22:54,160,0,0.34
7/1/2024 22:59,160,0,0.36
7/1/2024 23:05,160,0,0.34
7/1/2024 23:10,160,0,0.36
7/1/2024 23:15,160,0,0.34
7/1/2024 23:21,160,0,0.36
7/1/2024 23:26,160,0,0.35
7/1/2024 23:32,160,0,0.37
7/1/2024 23:37,160,0,0.39
7/1/2024 23:42,160,0,0.4
7/1/2024 23:47,160,0,0.41
7/1/2024 23:53,160,0,0.41
7/1/2024 23:58,160,0,0.42
7/2/2024 0:03,160,0,0.42
7/2/2024 0:08,160,0,0.42
7/2/2024 0:13,160,0,0.4
7/2/2024 0:19,160,0,0.43
7/2/2024 0:25,160,0,0.42
7/2/2024 0:30,160,0,0.39
7/2/2024 0:35,160,0,0.41
7/2/2024 0:41,160,0,0.41
7/2/2024 0:46,160,0,0.42
7/2/2024 0:51,160,0,0.41
7/2/2024 0:56,160,0,0.44
7/2/2024 1:01,160,0,0.42
7/2/2024 1:07,160,0,0.43
7/2/2024 1:12,160,0,0.42
7/2/2024 1:17,160,0,0.43
7/2/2024 1:23,160,0,0.43
7/2/2024 1:29,160,0,0.42
7/2/2024 1:34,160,0,0.42
7/2/2024 1:39,160,0,0.43
7/2/2024 1:44,160,0,0.42
7/2/2024 1:50,160,0,0.43
7/2/2024 1:55,160,0,0.43
7/2/2024 2:00,160,0,0.43
7/2/2024 2:06,160,0,0.43
7/2/2024 2:11,160,0,0.43
7/2/2024 2:16,160,0,0.43
7/2/2024 2:22,160,0,0.44
7/2/2024 2:27,160,0,0.43
7/2/2024 2:32,160,0,0.45
7/2/2024 2:38,160,0,0.44
7/2/2024 2:43,160,0,0.44
7/2/2024 2:48,160,0,0.44
7/2/2024 2:53,160,0,0.43
7/2/2024 2:58,160,0,0.43
7/2/2024 3:03,160,0,0.45
7/2/2024 3:08,160,0,0.43
7/2/2024 3:14,160,0,0.44
7/2/2024 3:19,160,0,0.43
7/2/2024 3:26,160,0,0.44
7/2/2024 3:31,160,0,0.44
7/2/2024 3:36,160,0,0.43
7/2/2024 3:41,160,0,0.44
7/2/2024 3:46,160,0,0.43
7/2/2024 3:52,160,0,0.43
7/2/2024 3:57,160,0,0.42
7/2/2024 4:02,160,0,0.42
7/2/2024 4:07,160,0,0.42
7/2/2024 4:12,160,0,0.42
7/2/2024 4:18,160,0,0.41
7/2/2024 4:24,160,0,0.42
7/2/2024 4:29,160,0,0.42
7/2/2024 4:34,160,0,0.42
7/2/2024 4:39,160,0,0.42
7/2/2024 4:44,160,0,0.41
7/2/2024 4:50,160,0,0.42
7/2/2024 4:55,160,0,0.41
7/2/2024 5:00,160,0,0.41
7/2/2024 5:06,160,0,0.41
7/2/2024 5:11,160,0,0.41
7/2/2024 5:17,160,0,0.42
7/2/2024 5:22,160,0,0.43
7/2/2024 5:28,160,0,0.42
7/2/2024 5:33,160,0,0.42
7/2/2024 5:38,160,0,0.43
7/2/2024 5:43,160,0,0.43
7/2/2024 5:49,160,0,0.43
7/2/2024 5:54,160,0,0.43
7/2/2024 5:59,160,0,0.44
7/2/2024 6:04,160,0,0.43
7/2/2024 6:09,160,0,0.43
7/2/2024 6:15,160,-0.1,
7/2/2024 6:20,160,0,0.43
7/2/2024 6:26,160,0,0.41
7/2/2024 6:31,160,0,0.41
7/2/2024 6:37,160,0,0.4
7/2/2024 6:41,160,0,0.39
7/2/2024 6:47,160,0,0.39
7/2/2024 6:52,160,0,0.38
7/2/2024 6:57,160,0,0.37
7/2/2024 7:02,160,0,0.4
7/2/2024 7:08,160,0,0.38
7/2/2024 7:13,160,0,0.39
7/2/2024 7:18,160,0,0.39
7/2/2024 7:24,160,0,0.37
7/2/2024 7:30,160,0,0.37
7/2/2024 7:35,160,0,0.37
7/2/2024 7:40,160,0,0.37
7/2/2024 7:45,160,0,0.37
7/2/2024 7:51,160,0,0.37
7/2/2024 7:56,160,0,0.38
7/2/2024 8:01,160,0,0.39
7/2/2024 8:06,160,0,0.37
7/2/2024 8:12,160,0,0.36
7/2/2024 8:17,160,0,0.38
7/2/2024 8:23,160,0,0.42
7/2/2024 8:28,160,0,0.4
7/2/2024 8:33,160,0,0.4
7/2/2024 8:39,160,0,0.41
7/2/2024 8:44,160,0,0.41
7/2/2024 8:45,141,0,0.41
7/2/2024 8:48,144,0,0.4
7/2/2024 8:50,142,0,0.42
7/2/2024 8:52,141,-0.1,
7/2/2024 8:54,140,-0.1,
7/2/2024 8:56,144,0,0.41
7/2/2024 8:58,141,-0.1,
7/2/2024 9:00,141,0,0.41
7/2/2024 9:01,140,-0.1,
7/2/2024 9:03,141,0.1,0.4
7/2/2024 9:04,140,0.1,0.41
7/2/2024 9:05,141,0.1,0.4
7/2/2024 9:08,140,0.1,0.4
7/2/2024 9:09,141,0.1,0.4
7/2/2024 9:10,140,0.1,0.41
7/2/2024 9:14,140,0.1,0.43
7/2/2024 9:15,143,0.1,0.45
7/2/2024 9:17,142,0.1,0.46
7/2/2024 9:18,140,-0.1,
7/2/2024 9:20,142,0.1,0.45
7/2/2024 9:22,140,-0.1,
7/2/2024 9:24,138,0.1,0.41
7/2/2024 9:25,141,0.1,0.41
7/2/2024 9:26,142,0.1,0.41
7/2/2024 9:28,141,-0.1,
7/2/2024 9:29,141,0.1,0.44
7/2/2024 9:31,142,0.1,0.42
7/2/2024 9:32,143,-0.1,
7/2/2024 9:34,142,0.1,0.41
7/2/2024 9:35,143,0.1,0.43
7/2/2024 9:37,143,0.1,0.42
7/2/2024 9:38,146,0.1,0.42
7/2/2024 9:41,143,0.1,0.47
7/2/2024 9:42,143,0.1,0.49
7/2/2024 9:43,143,0.1,0.49
7/2/2024 9:47,145,0.1,0.49
7/2/2024 9:48,143,0.1,0.54
7/2/2024 9:50,144,-0.1,
7/2/2024 9:52,146,0.1,0.46
7/2/2024 9:54,142,0.1,0.46
7/2/2024 9:55,145,-0.1,
7/2/2024 9:57,142,0.2,0.48
7/2/2024 9:58,145,0.2,0.47
7/2/2024 9:59,145,0.2,0.4
7/2/2024 10:01,150,-0.1,
7/2/2024 10:02,147,0.2,0.4
7/2/2024 10:03,143,0.2,0.41
7/2/2024 10:06,144,0.2,0.53
7/2/2024 10:07,143,0.2,0.45
7/2/2024 10:08,144,0.2,0.45
7/2/2024 10:12,146,-0.1,
7/2/2024 10:14,145,0.2,0.48
7/2/2024 10:15,145,0.2,0.46
7/2/2024 10:17,146,0.2,0.47
7/2/2024 10:19,147,-0.1,
7/2/2024 10:22,149,-0.1,
7/2/2024 10:23,148,0.2,0.56
7/2/2024 10:25,147,-0.1,
7/2/2024 10:27,146,0.2,0.55
7/2/2024 10:28,145,0.2,0.45
7/2/2024 10:31,146,0.2,0.47
7/2/2024 10:32,147,0.2,0.48
7/2/2024 10:33,149,0.2,0.47
7/2/2024 10:37,149,-0.1,
7/2/2024 10:38,150,0.2,0.53
7/2/2024 10:40,152,-0.1,
7/2/2024 10:42,151,0.2,0.52
7/2/2024 10:44,152,0.2,0.51
7/2/2024 10:45,153,-0.1,
7/2/2024 10:47,152,0.3,0.49
7/2/2024 10:48,154,-0.1,
7/2/2024 10:51,155,0.3,0.5
7/2/2024 10:52,152,-0.1,
7/2/2024 10:54,155,-0.1,
7/2/2024 10:55,155,0.3,0.49
7/2/2024 10:56,153,0.3,0.48
7/2/2024 10:58,155,0.3,0.49
7/2/2024 10:59,155,-0.1,
7/2/2024 11:02,155,0.3,0.51
7/2/2024 11:04,155,0.3,0.51
7/2/2024 11:05,153,0.3,0.5
7/2/2024 11:06,152,-0.1,
7/2/2024 11:08,156,0.3,0.49
7/2/2024 11:09,154,0.3,0.5
7/2/2024 11:11,210,0.3,0.5
7/2/2024 11:12,155,0.3,0.51
7/2/2024 11:13,155,-0.1,
7/2/2024 11:17,157,0.3,0.49
7/2/2024 11:18,156,0.3,0.51
7/2/2024 11:20,156,0.3,0.5
7/2/2024 11:23,156,0.3,0.51
7/2/2024 11:24,156,0.3,0.5
7/2/2024 11:25,153,0.3,0.5
7/2/2024 11:29,157,0.3,0.49
7/2/2024 11:30,157,0.3,0.49
7/2/2024 11:31,157,0.3,0.5
7/2/2024 11:33,158,-0.1,
7/2/2024 11:35,156,-0.1,
7/2/2024 11:38,159,0.4,0.5
7/2/2024 11:39,160,0.4,0.51
7/2/2024 11:41,158,0.4,0.52
7/2/2024 11:42,160,0.4,0.52
7/2/2024 11:44,157,-0.1,
7/2/2024 11:46,158,0.4,0.48
7/2/2024 11:48,158,0.4,0.46
7/2/2024 11:49,158,0.4,0.45
7/2/2024 11:51,155,0.4,0.43
7/2/2024 11:53,158,0.4,0.43
7/2/2024 11:54,157,0.4,0.43
7/2/2024 11:56,158,0.4,0.45
7/2/2024 11:57,158,0.4,0.44
7/2/2024 12:00,159,0.4,0.48
7/2/2024 12:02,160,0.4,0.48
7/2/2024 12:03,157,0.4,0.48
7/2/2024 12:05,159,-0.1,
7/2/2024 12:06,158,-0.1,
7/2/2024 12:08,158,-0.1,
7/2/2024 12:09,158,0.4,0.45
7/2/2024 12:13,159,0.4,0.47
7/2/2024 12:15,160,-0.1,
7/2/2024 12:16,159,-0.1,
7/2/2024 12:18,159,0.4,0.46
7/2/2024 12:19,162,0.4,0.46
7/2/2024 12:21,159,0.4,0.47
7/2/2024 12:22,159,0.5,0.46
7/2/2024 12:23,160,0.5,0.48
7/2/2024 12:27,157,0.5,0.51
7/2/2024 12:29,161,-0.1,
7/2/2024 12:30,159,0.5,0.5
7/2/2024 12:32,160,0.5,0.5
7/2/2024 12:33,159,0.5,0.51
7/2/2024 12:36,158,-0.1,
7/2/2024 12:38,158,0.5,0.51
7/2/2024 12:39,158,0.5,0.5
7/2/2024 12:42,157,-0.1,
7/2/2024 12:44,158,0.5,0.51
7/2/2024 12:45,157,-0.1,
7/2/2024 12:47,158,0.5,0.5
7/2/2024 12:48,156,0.5,0.5
7/2/2024 12:50,155,0.5,0.51
7/2/2024 12:53,158,0.5,0.51
7/2/2024 12:55,158,-0.1,
7/2/2024 12:56,158,0.5,0.5
7/2/2024 12:58,155,0.5,0.51
7/2/2024 12:59,158,0.5,0.52
7/2/2024 13:00,158,0.5,0.51
7/2/2024 13:01,160,0.5,0.51
7/2/2024 13:05,159,0.5,0.5
7/2/2024 13:06,158,0.5,0.51
7/2/2024 13:08,158,0.5,0.51
7/2/2024 13:09,158,0.6,0.51
7/2/2024 13:10,158,0.6,0.51
7/2/2024 13:12,159,0.6,0.49
7/2/2024 13:13,158,0.6,0.49
7/2/2024 13:14,161,0.6,0.51
7/2/2024 13:15,159,0.6,0.51
7/2/2024 13:20,160,0.6,0.47
7/2/2024 13:21,160,0.6,0.47
7/2/2024 13:22,159,0.6,0.47
7/2/2024 13:26,162,0.6,0.48
7/2/2024 13:27,162,-0.1,
7/2/2024 13:29,158,-0.1,
7/2/2024 13:30,160,0.6,0.48
7/2/2024 13:32,235,0.6,0.49
7/2/2024 13:33,159,0.6,0.48
7/2/2024 13:34,157,-0.1,
7/2/2024 13:37,161,0.6,0.47
7/2/2024 13:39,161,0.6,0.48
7/2/2024 13:40,160,0.6,0.49
7/2/2024 13:41,160,0.6,0.49
7/2/2024 13:42,158,0.6,0.48
7/2/2024 13:46,158,0.6,0.48
7/2/2024 13:47,159,0.6,0.49
7/2/2024 13:49,159,0.6,0.49
7/2/2024 13:50,158,0.6,0.5
7/2/2024 13:51,158,0.6,0.48
7/2/2024 13:55,158,-0.1,
7/2/2024 13:56,160,0.7,0.48
7/2/2024 13:58,159,0.7,0.49
7/2/2024 14:00,158,0.7,0.53
7/2/2024 14:02,160,0.7,0.53
7/2/2024 14:03,162,0.7,0.53
7/2/2024 14:05,160,-0.1,
7/2/2024 14:06,158,0.7,0.52
7/2/2024 14:09,159,0.7,0.52
7/2/2024 14:10,158,0.7,0.52
7/2/2024 14:12,158,0.7,0.53
7/2/2024 14:13,160,0.7,0.53
7/2/2024 14:14,157,-0.1,
7/2/2024 14:18,157,0.7,0.52
7/2/2024 14:19,157,0.7,0.53
7/2/2024 14:20,158,0.7,0.53
7/2/2024 14:24,159,0.7,0.53
7/2/2024 14:25,160,0.7,0.52
7/2/2024 14:27,157,0.7,0.53
7/2/2024 14:28,160,0.7,0.52
7/2/2024 14:30,161,0.7,0.53
7/2/2024 14:33,159,-0.1,
7/2/2024 14:34,158,-0.1,
7/2/2024 14:36,159,0.7,0.52
7/2/2024 14:37,159,0.7,0.51
7/2/2024 14:38,156,0.7,0.52
7/2/2024 14:39,159,0.7,0.52
7/2/2024 14:40,158,0.7,0.52
7/2/2024 14:44,159,0.8,0.52
7/2/2024 14:46,160,-0.1,
7/2/2024 14:47,162,-0.1,
7/2/2024 14:48,158,0.8,0.51
7/2/2024 14:50,196,0.8,0.52
7/2/2024 14:51,161,-0.1,
7/2/2024 14:53,161,-0.1,
7/2/2024 14:55,161,0.8,0.52
7/2/2024 14:56,160,0.8,0.51
7/2/2024 14:58,159,0.8,0.51
7/2/2024 15:00,163,0.8,0.52
